user_id,movie_id,Rating
1,68646,10
1,113277,10
2,454876,8
2,790636,7
2,816711,8
2,1091191,7
2,1322269,7
2,1433811,8
2,1454468,8
2,1535109,8
2,1675434,8
2,1798709,10
2,2017038,7
2,2024544,10
2,2294629,8
3,1300854,7
4,1764234,8
4,1790885,9
4,2053463,7
5,385002,10
5,1220198,10
5,1462900,10
5,1512685,10
5,1631707,10
5,1986994,1
5,1999995,10
6,3294634,6
7,1272878,10
8,452623,10
9,800241,7
10,2258858,8
11,103064,10
12,359950,7
12,770828,9
12,1091191,8
12,1170358,7
12,1210819,4
12,1430132,7
12,1490017,8
12,1535108,6
12,1663662,6
12,1843866,8
12,2334879,5
13,1210819,7
14,109830,8
14,1535109,7
15,108002,7
15,108399,9
15,111161,10
15,418279,9
15,453562,7
15,790724,8
15,816711,5
15,1045658,8
15,1055369,9
15,1232829,5
15,1272878,6
15,1300854,6
15,1399103,8
15,1588173,5
15,1606378,5
15,1606389,8
15,1636826,1
15,1659337,8
15,1670345,6
15,1763303,7
15,1855199,2
15,1905041,5
15,1945062,5
15,1981677,5
15,2194499,8
16,120338,10
16,120737,10
16,167260,10
16,167261,10
16,266543,10
16,325980,10
16,454876,10
16,468569,10
16,848228,10
16,910970,10
16,986264,10
16,1074638,9
16,1187043,10
16,1201607,10
16,1300854,9
16,1345836,10
16,1375666,10
16,1905041,9
16,1951261,8
17,882977,7
17,1446192,8
18,1602613,7
19,2278388,8
20,1203517,4
20,1343092,6
20,1411250,6
20,1727388,9
20,1853739,2
21,68646,9
21,1211956,10
21,1392214,9
21,1411250,5
21,1690953,7
21,2171867,2
21,2644714,1
22,95705,6
22,102803,4
22,120201,8
22,208092,7
22,427470,6
22,756648,7
22,829482,5
22,990407,4
22,1232829,7
22,1259014,7
22,1270291,3
22,1343092,6
22,1692486,7
22,1928330,4
22,2172935,7
22,2278388,8
23,65938,9
24,1650554,8
25,68646,9
25,71562,10
25,86250,8
25,99674,8
25,393162,9
25,430922,8
25,1024648,9
25,1300854,8
25,1392170,7
25,1433108,6
25,1650554,9
25,1706593,7
26,1300854,9
26,1408101,9
27,25316,7
27,31381,9
27,34248,7
27,34583,8
27,37017,8
27,38109,7
27,38787,9
27,39694,6
27,42004,5
27,44706,9
27,44937,6
27,48947,8
27,51658,4
27,57590,5
27,68646,8
27,105695,8
27,975645,7
27,1024648,5
27,1045658,7
27,1195478,5
27,1210819,7
27,1343092,7
27,1616195,7
27,1623205,9
27,1670345,6
27,1907668,7
27,1911644,8
27,2023587,9
27,2083383,8
27,2294629,9
27,2302755,5
28,109830,10
28,119008,8
28,137523,10
28,169547,8
28,292963,3
28,338013,9
28,352248,9
28,427309,10
28,450259,10
28,1045658,9
28,1306980,9
28,1392214,10
28,1535109,9
28,1979320,9
29,1229340,5
30,1430132,8
31,1723121,8
32,359950,10
33,36775,9
33,38057,9
33,40202,6
33,40897,8
33,43265,8
33,44079,9
33,48316,8
33,56923,8
33,57171,6
33,61495,8
33,63442,9
33,65063,7
33,78788,9
33,91167,8
33,94226,6
33,95765,7
33,97123,8
33,97216,9
33,100589,4
